TITLE;;YEAR_FOR_ANALYSIS;TONAL_CERTAINTY_PIECE;MEAN_TONAL_CERTAINTY_MEASURES;PITCH_CLASS_ENTROPY_PIECE;MEAN_PITCH_CLASS_ENTROPY_MEASURES;MAX_MELODIC_INTERVAL_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_MELODIC_INTERVAL_ENTROPY_MEASURES;MAX_IOI_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_IOI_ENTROPY_MEASURES;LENGTH
165-CHOPIN, Frederick Francois - Nocturne No-07.mid;CHOPIN;1836;0.7893888014337623;0.9643752253089735;3.185283340918445;2.942627377158542;4.138856411963713;3.808124785176668;2.833333559211119;0.0;311.86169720833595
166-CHOPIN, Frederick Francois - Nocturne No-08.mid;CHOPIN;1836;1.4301924739633143;0.9621370298265766;3.3068652996193015;3.227864559334006;3.8455552102861974;3.65715459850887;2.172487792340674;0.0;347.5717933333364
167-CHOPIN, Frederick Francois - Nocturne No-09.mid;CHOPIN;1837;1.1093949738867335;1.1063493997511615;3.240303880476947;3.109891375021478;4.280816434802387;4.069797466109453;2.867901602303936;0.5960246442945766;308.7970705625003
168-CHOPIN, Frederick Francois - Nocturne No-10.mid;CHOPIN;1837;1.369422102791002;1.104323264897917;3.425509639725846;3.2238233255512627;3.838739010637518;3.6748307672092015;2.2568062628853314;0.12390086850394934;347.97924312500186
169-CHOPIN, Frederick Francois - Nocturne No-11.mid;CHOPIN;1839;1.0321341108720188;1.007582789487343;3.1795859369918813;3.068976511294565;3.8296218666415656;3.5063056590349744;2.7663072454392292;0.10156918610376338;384.35477727083384
170-CHOPIN, Frederick Francois - Nocturne No-12.mid;CHOPIN;1839;0.8374762659275822;0.9069382626665649;3.5613443956938915;3.5098834823707263;4.033859890373524;3.461889512687859;1.9636646105770503;0.8776792618614718;395.2457249791677
171-CHOPIN, Frederick Francois - Nocturne No-13.mid;CHOPIN;1841;0.982930440912542;1.17143786476623;3.3145953817211242;3.2142367169765973;4.047324735165061;2.9746599134826344;2.3414434614298547;1.4345654472299318;376.5652071250008
172-CHOPIN, Frederick Francois - Nocturne No-14.mid;CHOPIN;1841;0.9895724610563407;0.976367282654096;3.3391093993505763;3.2420402866468696;4.269932719582491;3.985355772669926;2.578302389360822;1.6198447313649817;443.8199040625015
173-CHOPIN, Frederick Francois - Nocturne No-15.mid;CHOPIN;1844;1.0264081666351035;0.8916615672401892;3.305387557373464;3.129520246293743;4.061339884127483;2.3080504072892767;2.4404232991934465;0.4920202806686761;299.2010443125007
174-CHOPIN, Frederick Francois - Nocturne No-16.mid;CHOPIN;1844;1.0025378644291159;1.164582191782236;3.326910516018765;3.2807468452755253;4.133372643618549;4.021245886333175;2.8361851331526005;0.4579371608666153;322.80229904166634
175-CHOPIN, Frederick Francois - Nocturne No-17.mid;CHOPIN;1846;1.0406251371377109;1.009553040812727;3.3316073799699617;3.2095784559507403;4.178291553021167;3.7891533660911905;2.3211821081386144;1.451388897110081;427.1030515625027
176-CHOPIN, Frederick Francois - Nocturne No-18.mid;CHOPIN;1846;1.1802299872010793;1.0259960869993545;3.375675613447891;3.3135667800945168;3.9969679258044706;3.755898714034381;2.4042064729788715;0.9640259668263566;358.48200379166724
177-CHOPIN, Frederick Francois - Nocturne No-19.mid;CHOPIN;1827;0.9376160194041052;0.9335523801605616;3.2094847054727733;3.1062865737889362;3.7449631972361592;3.6144593057684284;3.0504938371147396;0.0;278.547585875
178-CHOPIN, Frederick Francois - Nocturne No-20.mid;CHOPIN;1830;1.320003458534086;0.942653535529594;3.144206770057905;3.114693713140345;4.030368834763982;3.8943378517258838;2.7227786354897385;0.6738961879389542;241.09486449999974
179-CHOPIN, Frederick Francois - Nocturne No-21.mid;CHOPIN;1837;1.0910090824727776;1.2561954368305779;3.0497718370239104;2.847020807754018;4.114564290532773;3.660897665341696;2.2683879176811206;0.0;186.36531170833348
186-CLEMENTI - Sonatina Op-36 No-01 part-A.mid;CLEMENTI;1799;1.2699365983032003;0.9460097630998144;2.82250867874593;2.734057791376934;3.930656140848493;3.811247321504321;1.847251638910411;1.8495786986673133;92.75496600000072
187-CLEMENTI - Sonatina Op-36 No-01 part-B.mid;CLEMENTI;1799;1.5383028608755316;1.4054181546855475;2.8594865256447157;2.8763058125363083;3.484381852374779;3.31105231814734;1.422342608218923;1.257066192384767;55.058796000000235
188-CLEMENTI - Sonatina Op-36 No-01 part-C.mid;CLEMENTI;1799;1.53426033350568;1.3414271672116609;2.684109606416101;2.5662838734102817;3.343478417404642;2.4521276033981287;1.2811597312136944;0.3476886913865561;68.15218299999991
189-CLEMENTI - Sonatina Op-36 No-02 part-A.mid;CLEMENTI;1799;1.3983942635525461;1.101056243400773;2.890639173089634;2.707871133566802;3.62790731181309;3.4642564175536434;1.1339291697328393;1.0504158592441428;148.7499999999998
190-CLEMENTI - Sonatina Op-36 No-02 part-B.mid;CLEMENTI;1799;1.2618708136729406;0.8977531847240966;2.906910946151181;2.9611011475623523;3.6610008823627664;3.5192274080961568;1.9249447078573527;1.750760325151911;54.374999999999986
191-CLEMENTI - Sonatina Op-36 No-02 part-C.mid;CLEMENTI;1799;1.125599273031042;1.5121683856244983;2.8731827415908633;2.7467601761797007;3.7092485912773334;3.224218929420721;1.3821937273205254;0.5074181148754897;105.9374999999998
192-CLEMENTI - Sonatina Op-36 No-03 part-A.mid;CLEMENTI;1799;1.4603089713345316;1.3303897718898718;2.970942764360048;2.8759390811674823;3.9942872165960583;3.706609783722201;1.710583278191078;0.7473642061966269;139.08647954166744
193-CLEMENTI - Sonatina Op-36 No-03 part-B.mid;CLEMENTI;1799;1.5871627215530157;1.3949080063442405;2.7333416815753777;2.714702385129942;3.9685598249541623;3.6494071805078807;2.255404334560746;0.5692906231310786;98.9999999999998
194-CLEMENTI - Sonatina Op-36 No-03 part-C.mid;CLEMENTI;1799;1.3703667532271169;1.1102021508707218;2.797805893893654;2.695605840259733;3.211095396020262;2.292520096607622;1.1300323547482432;1.0014983568890314;102.80729166666673
195-CLEMENTI - Sonatina Op-36 No-04 part-A.mid;CLEMENTI;1799;1.2768440837922332;1.0597901444423938;3.0485471254232306;2.8177956380527567;3.738617577126532;3.3932012445512623;1.5560853703669733;1.1622251537077348;267.5000000000005
196-CLEMENTI - Sonatina Op-36 No-04 part-B.mid;CLEMENTI;1799;1.5934276160660077;1.503785384307232;2.932466780826104;2.9079771170036213;3.6408348593936477;2.8637716610576973;1.9076983821467806;1.3195095896450404;70.50000000000009
197-CLEMENTI - Sonatina Op-36 No-04 part-C.mid;CLEMENTI;1799;1.3630260040646713;1.2227947378616986;2.8139399616743;2.791579315662078;3.351896883335214;3.235730629976746;1.875594854774521;1.8140746999431234;105.33338599999823
198-CLEMENTI - Sonatina Op-36 No-05 part-A.mid;CLEMENTI;1799;1.426599092273092;1.26219118200748;3.1035723488115714;2.9204934122692414;3.8590165423803193;3.3154269167151136;1.2901121411833896;0.8111603536464594;407.99999999998187
199-CLEMENTI - Sonatina Op-36 No-05 part-B.mid;CLEMENTI;1799;1.372333075228577;1.3283196747311181;2.5403834061105375;2.484430675049598;4.068066209508718;3.527956772370622;1.5312697074008037;0.8770531079598598;82.17392399999991
200-CLEMENTI - Sonatina Op-36 No-05 part-C.mid;CLEMENTI;1799;1.1141933685966987;1.261185838066455;2.9769150692144106;2.843188635995116;3.359308481778068;2.7363066381035583;2.2695896493624454;1.8797664549259938;207.59999999999894
201-CLEMENTI - Sonatina Op-36 No-06 part-A.mid;CLEMENTI;1799;1.392507940509466;1.2530167380896888;2.9002798809531183;2.8439408608957537;3.9346481063678636;3.8564680562302325;1.4334209253281636;0.6218786224048901;446.3999999999904
202-CLEMENTI - Sonatina Op-36 No-06 part-B.mid;CLEMENTI;1799;1.303896954909678;1.2860134990817504;3.0583732981590965;2.857720827513654;3.8635863645402746;2.870053244543998;1.4064771903816675;1.3374809059705848;164.394999999998
206-DVORAK - American Suite.mid;DVORAK;1895;1.4209043478672423;1.1276074451286748;3.3199251451342313;3.124437908545021;4.280521110747563;3.978662253918955;2.4861354560646074;1.8891083709765222;1025.4466918250478
211-FAURE - Dolly Suite 01-of-06.mid;FAURE;1896;1.3242837715864493;1.1923998188171219;3.1405004361491513;2.9958652600945874;4.005449376862714;2.8206223808527024;2.267521478978201;0.30584202504785424;177.27710015365025
212-FAURE - Dolly Suite 02-of-06.mid;FAURE;1896;1.1967932402128503;0.9479851844195488;3.331134414486396;3.2383043024184284;4.070302607925801;3.2982228354984464;2.3251232766611825;1.8738181357972628;129.9579632499991
213-FAURE - Dolly Suite 03-of-06.mid;FAURE;1896;0.8890199878221566;1.2481853720698377;3.2688334225903475;3.147217964291233;4.213965245835137;3.7045377017500973;2.270071786447205;1.6057700133883022;171.82716091666484
214-FAURE - Dolly Suite 04-of-06.mid;FAURE;1896;1.0825822272248855;1.0654477511136216;3.3275329689651594;3.2730283607890334;3.658359357666801;2.9644207980534674;2.2648015406377717;1.005637769451913;162.0214067499991
216-FAURE - Dolly Suite 06-of-06.mid;FAURE;1896;1.0775381723498716;1.0796761617220874;3.173628730572228;3.035262234613878;4.171892458417765;3.6743310188823264;2.0186004058870273;1.0303369929796722;135.17328789062387
222-GRIEG - Op-12 No-01 (Poetic Tone Pictures).mid;GRIEG;1867;1.3138565687402513;0.9473500392661087;3.1106097154975494;3.079354191145606;3.1629612074451816;2.8036166357315535;1.4558585238232946;0.4192299793176772;38.61200699999998
223-GRIEG - Op-12 No-02 (Poetic Tone Pictures).mid;GRIEG;1867;1.0821770421859243;0.9119440475586257;3.047211080176952;2.9110919632893753;3.402085012052676;1.8849886948739145;2.000140583691135;0.6250334140056928;104.1874940000002
224-GRIEG - Op-12 No-03 (Poetic Tone Pictures).mid;GRIEG;1867;0.9836517381304302;0.8699668440263606;3.2185702363090694;2.9997828781963873;3.5178333591903344;2.742056109066736;2.2967529409863583;1.6549118489789225;129.00636299999994
