TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
030-BACH, Johann Sebastian - BWV-0801 No-15 3-part Sinfonia in B.mid;1;106.63802083333266; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
031-BACH, Johann Sebastian - BWV-0802 Duetto I in E-min.mid;1;119.59594933333328; <meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1333333 time=288>;0;0;0;1;0;;;;1739;1739;
032-BACH, Johann Sebastian - BWV-0803 Duetto II in F-Maj.mid;1;163.29710400000403; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1200000 time=192>;0;0;0;1;0;;;;1739;1739;
033-BACH, Johann Sebastian - BWV-0804 Duetto III in G-Maj.mid;1;140.48333524999651; <meta message time_signature numerator=12 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=666667 time=288>;0;0;0;1;0;;;;1739;1739;
034-BACH, Johann Sebastian - BWV-0805 Duetto IV in A-min.mid;1;153.87124800000143; <meta message time_signature numerator=2 denominator=2 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=750000 time=768>;0;0;0;1;0;;;;1739;1739;
035-BACH, Johann Sebastian - BWV-0806 English Suite No-1 in A-Maj.mid;1;914.8749999999824; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
036-BACH, Johann Sebastian - BWV-0807 English Suite No-2 in A-min.mid;1;867.0065104166695; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
037-BACH, Johann Sebastian - BWV-0808 English Suite No-3 in G-min.mid;1;760.0052083333558; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
038-BACH, Johann Sebastian - BWV-0808 Mov-01 Prelude English Suite.mid;1;196.55594184582816; <meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=2500000 time=238>;0;0;0;1;0;;;1715-20;;1720;
039-BACH, Johann Sebastian - BWV-0808 Mov-02 Allemande English Suite.mid;1;210.95125430000135; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=3157895 time=96>;1;0;0;1;0;;;1715-20;;1720;
040-BACH, Johann Sebastian - BWV-0808 Mov-03 Courante English Suite.mid;1;121.1094729145829; <meta message time_signature numerator=3 denominator=2 clocks_per_click=48 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=618557 time=108>;0;0;0;1;0;;;1715-20;;1720;
041-BACH, Johann Sebastian - BWV-0808 Mov-04 Sarabande English Suite.mid;0;173.9999999999998; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
042-BACH, Johann Sebastian - BWV-0808 Mov-05 Gavottes I & II English Suite.mid;1;127.849299810416; <meta message time_signature numerator=3 denominator=2 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=461538 time=0>;0;0;0;1;;;;;;;
043-BACH, Johann Sebastian - BWV-0808 Mov-06 Gigue English Suite.mid;1;140.8505491208332; <meta message time_signature numerator=12 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=1333333 time=140>;0;0;0;1;0;;;1715-20;;1720;
044-BACH, Johann Sebastian - BWV-0809 English Suite No-4 in F-Maj.mid;1;824.0572916666671; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
045-BACH, Johann Sebastian - BWV-0810 English Suite No-5 in E-min.mid;1;896.2200520833475; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
046-BACH, Johann Sebastian - BWV-0811 English Suite No-6 in D-min.mid;1;1047.9388020833405; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
047-BACH, Johann Sebastian - BWV-0812 French Suite in D-min.mid;1;423.67842966667627; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=1152>; <meta message set_tempo tempo=800000 time=39168>;0;0;0;1;;;;;;;
048-BACH, Johann Sebastian - BWV-0813 French Suite in C-min.mid;1;425.0981108437473; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=19584>; <meta message set_tempo tempo=895522 time=0>;0;0;0;1;;;;;;;
049-BACH, Johann Sebastian - BWV-0814 French Suite in B-min.mid;1;448.33878675522374; <meta message time_signature numerator=6 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=26112>; <meta message set_tempo tempo=714286 time=5760>;0;0;0;1;;;;;;;
050-BACH, Johann Sebastian - BWV-0815 French Suite in Eb.mid;1;427.16189683334176; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=35328>; <meta message set_tempo tempo=625000 time=0>;0;0;0;1;;;;;;;
051-BACH, Johann Sebastian - BWV-0816 French Suite in G.mid;1;523.7661083541575; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=19584>; <meta message set_tempo tempo=545455 time=0>;0;0;0;1;;;;;;;
052-BACH, Johann Sebastian - BWV-0817 French Suite in E.mid;1;501.03260944792254; <meta message time_signature numerator=6 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=15552>; <meta message set_tempo tempo=555556 time=0>;0;0;0;1;;;;;;;
053-BACH, Johann Sebastian - BWV-0818 Suite in A-min.mid;1;516.6080729166625; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
054-BACH, Johann Sebastian - BWV-0819 Suite in Eb-Maj.mid;1;483.33333333333877; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
055-BACH, Johann Sebastian - BWV-0825 Partita in Bb.mid;1;575.2724052499932; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=125568>; <meta message set_tempo tempo=500000 time=0>;0;1;0;1;;;;;;;
056-BACH, Johann Sebastian - BWV-0826 Partita in C.mid;1;710.1244259791985; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=576>; <meta message set_tempo tempo=576923 time=2304>;0;0;0;1;;;;;;;
057-BACH, Johann Sebastian - BWV-0827 Partita in A.mid;1;634.4835833698182; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=384>; <meta message set_tempo tempo=472441 time=24960>;0;0;0;1;;;;;;;
058-BACH, Johann Sebastian - BWV-0828 Partita in D.mid;1;1014.6378945625522; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=92160>; <meta message set_tempo tempo=444444 time=31872>;0;0;0;1;;;;;;;
059-BACH, Johann Sebastian - BWV-0829 Partita in G.mid;1;684.2247772655977; <meta message time_signature numerator=6 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=576>; <meta message set_tempo tempo=681818 time=29376>;0;0;0;1;;;;;;;
060-BACH, Johann Sebastian - BWV-0830 Partita in E.mid;1;1028.9863291066713; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=1536>; <meta message set_tempo tempo=857143 time=25344>;0;0;0;1;;;;;;;
