TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Grieg Lyrische Stucke Buch-02 Op-38 No-04 (1883) Halling.mid;0;52.16340937499991; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-03 (1886) Op-43 No-01 Butterfly.mid;0;100.71170484374922; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-03 (1886) Op-43 No-02 Solitary Traveller.mid;0;103.84604999999992; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-03 (1886) Op-43 No-04 Little Bird.mid;0;96.47693343750011; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-05 (1891) Op-54 No-03 March of the Dwarfs.mid;0;156.01613671874603; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-08 Op-65 No-06 Hochzeitstag auf (Wedding Day at) Troldhaugen.mid;0;332.37947531251; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-10 Op-71 No-03 (1901) Puck.mid;0;87.45050015625087; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Haydn Klaviersonate in G-Maj Hoboken XVI-40 (1784) 1st Mov.mid;0;396.36712500000874; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Haydn Klaviersonate in G-Maj Hoboken XVI-40 (1784) 2nd Mov.mid;0;182.29281984374805; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etude No-1 aus Grandes Etudes.mid;0;289.89153703125544; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etude No-2 aus Grandes Etudes.mid;0;320.2520835937485; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etude No-3 aus La Campanella.mid;0;246.87475312499515; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etude No-4 aus Grandes Etudes.mid;0;116.92830187499871; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etude No-5 aus Grandes Etudes.mid;0;192.51850406249716; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etude No-6 aus Grandes Etudes.mid;0;327.53973656250463; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etudes Feux Follets.mid;0;198.04200281249493; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etudes Mazeppa.mid;0;375.8262801562733; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Etudes Wilde Jagd.mid;0;309.74728640625983; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Liebestraum No-3.mid;0;250.98399046874897; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Reminiscnenes do Don Juan.mid;0;1009.1696639064113; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Rhapsodie No-10.mid;0;284.95163812499527; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Rhapsodie No-12.mid;0;525.8421557812942; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Rhapsodie No-15.mid;0;360.27474656251604; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Rhapsodie No-9 - Pesther Karnev.mid;0;635.80064625005; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Lizst Ungarische Rhapsodie No-2.mid;0;527.9027840625567; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mendelsohnn Lieder ohne Worte Morgenlied.mid;0;77.16338437499968; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mendelsohnn Lieder ohne Worte Op-30 No-1.mid;0;259.68857578125085; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mendelsohnn Lieder ohne Worte Trauermarsch.mid;0;184.9317060937491; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mendelsohnn Lieder ohne Worte Venetianisches G.mid;0;158.76052499999895; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mendelsohnn Lieder ohne Worte Volkslied.mid;0;153.13419515624966; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Moszkowsky - Op-36 No-06 Etincelles (Sparks).mid;0;150.18443754687985; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Mozart 3 Klaviersonate B 1st Mov.mid;0;693.5716889062688; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate B 2nd Mov.mid;0;525.1196671875093; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate B 3rd Mov.mid;0;350.26273734375303; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate C 1st Mov.mid;0;540.4935834375195; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate C 2nd Mov.mid;0;395.7314418750049; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate C 3rd Mov.mid;0;483.15523265625717; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
